               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,            0.016264,            0.015583,           0.0014643,             0.95235,             0.99934,             0.99125,             0.88124,            0.011919,           0.0089156,            0.001023,            0.003565,            0.003565,            0.003565
                  67,             0.01547,            0.013697,           0.0014207,             0.91712,             0.99934,             0.97722,             0.87264,            0.012221,           0.0088855,          0.00096044,            0.003466,            0.003466,            0.003466
                  68,            0.015665,            0.014011,           0.0012791,             0.91561,             0.99934,             0.97718,             0.89482,            0.011852,           0.0088723,          0.00091616,            0.003367,            0.003367,            0.003367
                  69,            0.015946,             0.01322,           0.0014074,             0.91817,                   1,             0.97728,             0.86792,            0.011969,           0.0087845,          0.00090505,            0.003268,            0.003268,            0.003268
                  70,             0.01537,            0.014406,           0.0013495,              0.9528,             0.99868,             0.99089,             0.89266,            0.010955,            0.008505,          0.00085851,            0.003169,            0.003169,            0.003169
                  71,            0.015101,            0.013946,           0.0014997,             0.91915,             0.99934,             0.98419,             0.88892,            0.011147,           0.0084971,          0.00083564,             0.00307,             0.00307,             0.00307
                  72,            0.015025,            0.012787,           0.0014215,             0.92001,             0.99934,             0.97818,             0.88317,            0.011035,           0.0084204,          0.00081476,            0.002971,            0.002971,            0.002971
                  73,            0.014364,            0.013339,            0.001056,             0.95583,             0.99533,             0.99132,             0.90083,            0.011055,           0.0083519,          0.00081156,            0.002872,            0.002872,            0.002872
                  74,            0.014263,            0.014097,            0.001165,             0.95817,             0.99286,             0.99148,             0.89482,            0.010618,           0.0083285,          0.00077575,            0.002773,            0.002773,            0.002773
                  75,             0.01385,             0.01356,           0.0010783,             0.92374,             0.99868,             0.98331,             0.87236,            0.010971,           0.0084239,          0.00074851,            0.002674,            0.002674,            0.002674
                  76,            0.014224,            0.012546,           0.0010747,             0.95685,             0.99832,             0.99157,             0.88758,            0.010777,           0.0084355,          0.00074246,            0.002575,            0.002575,            0.002575
                  77,            0.014037,            0.013548,          0.00098492,             0.95771,             0.99926,             0.99156,             0.89058,            0.010668,           0.0083824,          0.00072841,            0.002476,            0.002476,            0.002476
                  78,            0.013922,            0.013032,           0.0011741,             0.95771,             0.99415,             0.99088,             0.87888,             0.01049,           0.0084228,          0.00071735,            0.002377,            0.002377,            0.002377
                  79,              0.0137,            0.013039,           0.0010736,             0.95552,                   1,             0.99164,             0.88756,            0.010328,           0.0081753,          0.00069682,            0.002278,            0.002278,            0.002278
                  80,            0.013325,            0.013187,           0.0010481,             0.96228,             0.99989,             0.99163,             0.88729,             0.01053,           0.0081456,          0.00067078,            0.002179,            0.002179,            0.002179
                  81,             0.01333,             0.01264,          0.00093804,             0.96233,             0.99857,             0.99172,             0.90421,            0.010355,           0.0082046,          0.00065502,             0.00208,             0.00208,             0.00208
                  82,            0.013335,            0.012643,           0.0008892,             0.96269,                   1,             0.98948,             0.89289,            0.010106,           0.0080958,           0.0006213,            0.001981,            0.001981,            0.001981
                  83,            0.013385,            0.011674,           0.0011722,             0.96071,             0.99934,             0.99046,             0.89738,            0.010151,           0.0081598,          0.00060557,            0.001882,            0.001882,            0.001882
                  84,            0.012744,            0.013706,          0.00093669,             0.95439,             0.99902,             0.99034,             0.88224,             0.01036,           0.0080992,          0.00058685,            0.001783,            0.001783,            0.001783
                  85,            0.012634,            0.012432,          0.00086367,             0.95666,             0.99803,             0.99087,             0.90555,            0.009966,           0.0080122,          0.00057147,            0.001684,            0.001684,            0.001684
                  86,            0.012949,            0.011869,          0.00087418,             0.95727,             0.99891,             0.99192,             0.90325,            0.010092,           0.0080651,           0.0005607,            0.001585,            0.001585,            0.001585
                  87,            0.012409,            0.012477,          0.00084314,             0.96264,             0.99686,             0.99183,             0.90256,            0.010029,           0.0079598,          0.00053404,            0.001486,            0.001486,            0.001486
                  88,            0.012891,            0.011806,          0.00079186,             0.95792,                   1,             0.99175,              0.8984,           0.0099208,           0.0080933,          0.00051602,            0.001387,            0.001387,            0.001387
                  89,            0.011798,            0.012056,          0.00080565,              0.9611,                   1,             0.99193,             0.90215,           0.0098964,            0.008151,          0.00049355,            0.001288,            0.001288,            0.001288
                  90,            0.012466,            0.011836,          0.00080403,             0.96432,             0.99934,             0.99203,             0.90544,           0.0097673,             0.00804,          0.00047905,            0.001189,            0.001189,            0.001189
                  91,            0.011964,            0.012987,          0.00090661,             0.96321,             0.99934,             0.99167,             0.89168,             0.00964,           0.0080499,          0.00046389,             0.00109,             0.00109,             0.00109
                  92,            0.011689,            0.011707,          0.00076554,             0.96044,             0.99934,             0.98993,             0.91407,           0.0096736,           0.0081326,           0.0004574,            0.000991,            0.000991,            0.000991
                  93,             0.01183,            0.012552,          0.00071077,             0.96164,             0.99941,             0.99085,              0.9081,            0.009487,           0.0080068,          0.00044379,            0.000892,            0.000892,            0.000892
                  94,             0.01171,            0.013533,           0.0008445,             0.96406,             0.99592,             0.99117,             0.90566,           0.0097384,           0.0080056,          0.00042288,            0.000793,            0.000793,            0.000793
                  95,            0.011591,            0.011748,          0.00066231,             0.92542,                   1,             0.98402,             0.90829,           0.0095707,           0.0079587,          0.00041154,            0.000694,            0.000694,            0.000694
                  96,            0.011531,            0.011998,           0.0006481,              0.9259,                   1,             0.98395,             0.90412,           0.0095378,           0.0078888,          0.00040445,            0.000595,            0.000595,            0.000595
                  97,             0.01127,            0.012215,          0.00072944,             0.96345,             0.99432,             0.99116,              0.8989,           0.0095532,           0.0079111,           0.0003948,            0.000496,            0.000496,            0.000496
                  98,            0.011774,            0.011933,          0.00078404,             0.96323,             0.99562,              0.9912,                0.91,           0.0096251,           0.0079571,          0.00038463,            0.000397,            0.000397,            0.000397
                  99,            0.011424,            0.011443,          0.00066332,             0.96235,             0.99534,             0.99205,             0.91861,           0.0094608,           0.0079437,          0.00037729,            0.000298,            0.000298,            0.000298
