                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.78009,                0.66468,                  1.293,                0.79999,                0.99868,                0.96212,                0.80621,                0.64922,                  0.471,                 1.2065,               0.003565,               0.003565,               0.003565
                     67,                0.76412,                0.62597,                 1.2654,                0.90278,                0.89788,                0.96147,                0.78107,                0.67697,                0.47345,                 1.2368,               0.003466,               0.003466,               0.003466
                     68,                0.74593,                0.61687,                  1.258,                0.94227,                0.91493,                0.97533,                0.81103,                 0.5994,                0.43277,                 1.1759,               0.003367,               0.003367,               0.003367
                     69,                0.76282,                0.61735,                 1.2523,                0.88321,                0.84592,                0.88819,                0.69473,                0.77699,                 0.5624,                 1.3623,               0.003268,               0.003268,               0.003268
                     70,                0.74381,                0.61182,                 1.2397,                0.89451,                0.99148,                0.98111,                0.83238,                0.60024,                0.43094,                 1.1697,               0.003169,               0.003169,               0.003169
                     71,                0.75514,                0.64549,                 1.2801,                 0.9269,                0.97423,                0.96934,                0.81372,                0.59477,                0.43558,                 1.1695,                0.00307,                0.00307,                0.00307
                     72,                 0.7549,                0.64798,                 1.2538,                0.90794,                0.90457,                 0.9337,                0.78848,                0.60561,                0.44014,                 1.1839,               0.002971,               0.002971,               0.002971
                     73,                0.74663,                0.63522,                 1.2725,                0.90458,                 0.9462,                0.98283,                0.82598,                0.60746,                0.43641,                 1.1779,               0.002872,               0.002872,               0.002872
                     74,                0.72035,                0.60121,                 1.2424,                0.86144,                0.91561,                0.92566,                0.76664,                0.63509,                0.45599,                  1.204,               0.002773,               0.002773,               0.002773
                     75,                0.73971,                0.60931,                 1.2634,                0.80571,                0.92725,                0.89555,                0.75034,                0.60906,                0.44139,                 1.1797,               0.002674,               0.002674,               0.002674
                     76,                0.74014,                0.61146,                 1.2726,                0.86955,                 0.9864,                0.97163,                 0.8157,                0.63567,                0.43583,                 1.1916,               0.002575,               0.002575,               0.002575
                     77,                0.71318,                0.58345,                 1.2172,                0.89884,                0.99319,                0.97404,                0.82105,                0.60509,                0.42104,                 1.1676,               0.002476,               0.002476,               0.002476
                     78,                0.70048,                0.56258,                 1.2177,                0.87392,                0.98789,                0.97451,                0.81878,                0.61447,                0.44449,                  1.179,               0.002377,               0.002377,               0.002377
                     79,                0.72141,                0.59339,                  1.235,                0.96011,                0.94529,                0.98323,                0.84648,                0.58754,                0.41433,                 1.1624,               0.002278,               0.002278,               0.002278
                     80,                0.72178,                0.59522,                 1.2371,                0.95966,                0.98988,                0.99361,                 0.8573,                0.59063,                0.42089,                 1.1648,               0.002179,               0.002179,               0.002179
                     81,                0.72478,                0.59251,                 1.2409,                0.94857,                0.98119,                0.99231,                0.85206,                0.57556,                0.41616,                 1.1525,                0.00208,                0.00208,                0.00208
                     82,                0.69394,                0.57114,                  1.215,                0.95119,                 0.9924,                0.99244,                0.84965,                0.57673,                0.41636,                 1.1522,               0.001981,               0.001981,               0.001981
                     83,                    0.7,                0.57436,                 1.2261,                0.92598,                0.99279,                0.99344,                0.85385,                0.58164,                0.41521,                 1.1529,               0.001882,               0.001882,               0.001882
                     84,                0.69912,                0.57737,                 1.2232,                0.95524,                0.99319,                0.99266,                0.85112,                0.57705,                0.40654,                 1.1478,               0.001783,               0.001783,               0.001783
                     85,                0.71619,                0.58626,                 1.2231,                0.95676,                0.96715,                0.99187,                0.85965,                0.57278,                0.40306,                 1.1392,               0.001684,               0.001684,               0.001684
                     86,                0.69447,                0.55349,                 1.2193,                 0.9431,                0.99868,                0.99179,                0.85036,                0.56538,                0.40315,                  1.146,               0.001585,               0.001585,               0.001585
                     87,                0.69217,                0.56035,                 1.2231,                0.93379,                0.98342,                0.99206,                0.85596,                 0.5683,                0.39672,                 1.1397,               0.001486,               0.001486,               0.001486
